Channel2,Gender,Race,Age,Age_Group,Province,Watch_Time,watch_time_classification,total_watch_time_hours,avg_watch_time_hours,viewing_date,Day,Date,Month,day_classification,viewing_segment_classification
Vuzu,male,black,15,2. Teen,Kwazulu Natal,0:00:22,1. Skim,0.006111,0.006111,32:00.0,Fri,18,Mar,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,indian_asian,31,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,08:00.0,Sat,27,Feb,Weekend,5. Evening
Trace TV,female,black,27,3. Young Adult,Gauteng,1:10:21,4. Long_watch,1.1725,1.1725,09:00.0,Sat,16,Jan,Weekend,6. Evening_Peak
Trace TV,male,black,41,4. Adult,Gauteng,0:04:30,1. Skim,0.075,0.075,45:00.0,Fri,12,Feb,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,indian_asian,28,3. Young Adult,Limpopo,0:02:22,1. Skim,0.039444,0.039444,50:00.0,Wed,24,Feb,Weekday,4. Afternoon
Cartoon Network,male,black,22,3. Young Adult,Gauteng,0:11:59,2. Short_watch,0.199722,0.199722,28:00.0,Fri,11,Mar,Weekday,3. Mid_Morning
Boomerang,male,white,17,2. Teen,Western Cape,0:00:00,1. Skim,0,0.00E+00,01:00.0,Tue,8,Mar,Weekday,5. Evening
ICC Cricket World Cup 2011,female,black,10,1. Children,Western Cape,0:01:50,1. Skim,0.030556,0.030556,36:00.0,Wed,24,Feb,Weekday,3. Mid_Morning
Supersport Live Events,male,coloured,30,3. Young Adult,Western Cape,0:00:58,1. Skim,0.016111,0.016111,59:00.0,Fri,4,Mar,Weekday,5. Evening
Supersport Live Events,male,white,27,3. Young Adult,Gauteng,0:02:18,1. Skim,0.038333,0.038333,48:00.0,Fri,19,Feb,Weekday,4. Afternoon
Cartoon Network,female,black,33,3. Young Adult,Gauteng,0:01:47,1. Skim,0.029723,0.029723,43:00.0,Mon,4,Jan,Weekday,5. Evening
Trace TV,male,indian_asian,22,3. Young Adult,Kwazulu Natal,1:14:24,4. Long_watch,1.24,1.24,10:00.0,Wed,13,Jan,Weekday,1. Graveyard
Supersport Live Events,male,black,32,3. Young Adult,Gauteng,0:01:12,1. Skim,0.02,0.02,12:00.0,Sat,30,Jan,Weekend,4. Afternoon
Trace TV,female,black,36,4. Adult,Northern Cape,0:00:33,1. Skim,0.009167,0.009167,29:00.0,Wed,30,Mar,Weekday,4. Afternoon
Trace TV,female,black,36,4. Adult,Northern Cape,0:00:24,1. Skim,0.006667,0.006667,29:00.0,Tue,29,Mar,Weekday,6. Evening_Peak
Trace TV,female,black,30,3. Young Adult,Gauteng,0:22:15,3. Regular_watch,0.370834,0.370834,21:00.0,Sun,6,Mar,Weekend,6. Evening_Peak
Cartoon Network,male,white,37,4. Adult,Gauteng,0:01:26,1. Skim,0.023889,0.023889,34:00.0,Sun,7,Feb,Weekend,2. Morning_Peak
Channel O,male,white,27,3. Young Adult,Gauteng,0:01:03,1. Skim,0.0175,0.0175,56:00.0,Mon,18,Jan,Weekday,4. Afternoon
Supersport Live Events,male,white,27,3. Young Adult,Gauteng,0:04:02,1. Skim,0.067223,0.067223,10:00.0,Fri,29,Jan,Weekday,4. Afternoon
Cartoon Network,male,coloured,14,2. Teen,Gauteng,0:00:48,1. Skim,0.013333,0.013333,48:00.0,Mon,25,Jan,Weekday,3. Mid_Morning
ICC Cricket World Cup 2011,male,indian_asian,32,3. Young Adult,Gauteng,0:00:34,1. Skim,0.009444,0.009444,33:00.0,Wed,23,Mar,Weekday,4. Afternoon
Africa Magic,male,black,39,4. Adult,Western Cape,0:01:18,1. Skim,0.021667,0.021667,19:00.0,Thu,31,Mar,Weekday,4. Afternoon
Cartoon Network,male,black,34,3. Young Adult,Gauteng,0:01:01,1. Skim,0.016945,0.016945,23:00.0,Thu,18,Feb,Weekday,6. Evening_Peak
Cartoon Network,male,coloured,50,4. Adult,Western Cape,0:00:01,1. Skim,0.000278,0.000278,16:00.0,Fri,15,Jan,Weekday,1. Graveyard
ICC Cricket World Cup 2011,male,indian_asian,30,3. Young Adult,Gauteng,0:49:54,3. Regular_watch,0.831667,0.831667,22:00.0,Sun,13,Mar,Weekend,4. Afternoon
Supersport Live Events,male,black,38,4. Adult,Western Cape,0:17:24,3. Regular_watch,0.29,0.29,03:00.0,Fri,12,Feb,Weekday,5. Evening
ICC Cricket World Cup 2011,None,None,0,1. Children,None,0:00:12,1. Skim,0.003333,0.003333,03:00.0,Wed,30,Mar,Weekday,3. Mid_Morning
Supersport Live Events,male,coloured,27,3. Young Adult,Gauteng,0:00:56,1. Skim,0.015556,0.015556,49:00.0,Tue,9,Feb,Weekday,5. Evening
SuperSport Blitz,male,coloured,38,4. Adult,Western Cape,0:21:58,3. Regular_watch,0.366111,0.366111,26:00.0,Fri,26,Feb,Weekday,6. Evening_Peak
Boomerang,male,black,57,4. Adult,Gauteng,0:33:19,3. Regular_watch,0.555278,0.555278,24:00.0,Fri,29,Jan,Weekday,6. Evening_Peak
Boomerang,female,coloured,36,4. Adult,Western Cape,0:36:36,3. Regular_watch,0.61,0.61,54:00.0,Thu,21,Jan,Weekday,4. Afternoon
Supersport Live Events,male,black,44,4. Adult,North West,0:04:16,1. Skim,0.071111,0.071111,54:00.0,Sun,20,Mar,Weekend,5. Evening
SuperSport Blitz,male,black,33,3. Young Adult,Mpumalanga,0:06:42,2. Short_watch,0.111667,0.111667,40:00.0,Tue,2,Feb,Weekday,2. Morning_Peak
CNN,male,indian_asian,37,4. Adult,Limpopo,0:00:00,1. Skim,0,0.00E+00,44:00.0,Thu,17,Mar,Weekday,4. Afternoon
Cartoon Network,male,black,21,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,03:00.0,Fri,8,Jan,Weekday,6. Evening_Peak
Supersport Live Events,male,indian_asian,23,3. Young Adult,Gauteng,0:48:56,3. Regular_watch,0.815556,0.815556,15:00.0,Mon,25,Jan,Weekday,6. Evening_Peak
SawSee,male,black,26,3. Young Adult,Limpopo,0:04:06,1. Skim,0.068334,0.068334,58:00.0,Wed,13,Jan,Weekday,4. Afternoon
M-Net,male,indian_asian,38,4. Adult,Gauteng,0:00:09,1. Skim,0.0025,0.0025,56:00.0,Mon,14,Mar,Weekday,4. Afternoon
Cartoon Network,male,coloured,30,3. Young Adult,Western Cape,0:00:11,1. Skim,0.003056,0.003056,21:00.0,Sat,26,Mar,Weekend,1. Graveyard
E! Entertainment,None,None,0,1. Children,None,0:00:18,1. Skim,0.005,0.005,36:00.0,Fri,25,Mar,Weekday,4. Afternoon
Supersport Live Events,male,indian_asian,28,3. Young Adult,Limpopo,0:25:04,3. Regular_watch,0.417778,0.417778,15:00.0,Thu,24,Mar,Weekday,3. Mid_Morning
Break in transmission,female,indian_asian,33,3. Young Adult,Kwazulu Natal,0:00:11,1. Skim,0.003056,0.003056,26:00.0,Tue,1,Mar,Weekday,6. Evening_Peak
Supersport Live Events,male,black,23,3. Young Adult,Eastern Cape,0:00:20,1. Skim,0.005556,0.005556,07:00.0,Sun,27,Mar,Weekend,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,26,3. Young Adult,Gauteng,0:01:24,1. Skim,0.023334,0.023334,17:00.0,Wed,30,Mar,Weekday,4. Afternoon
Africa Magic,male,black,30,3. Young Adult,Kwazulu Natal,0:09:39,2. Short_watch,0.160833,0.160833,29:00.0,Fri,12,Feb,Weekday,5. Evening
SuperSport Blitz,male,coloured,33,3. Young Adult,Western Cape,0:22:38,3. Regular_watch,0.377223,0.377223,11:00.0,Sun,31,Jan,Weekend,4. Afternoon
Africa Magic,male,white,51,4. Adult,Free State,0:00:09,1. Skim,0.0025,0.0025,13:00.0,Fri,1,Jan,Weekday,4. Afternoon
Supersport Live Events,male,black,27,3. Young Adult,Gauteng,0:02:16,1. Skim,0.037777,0.037777,57:00.0,Tue,2,Feb,Weekday,5. Evening
M-Net,female,black,35,3. Young Adult,Mpumalanga,0:00:27,1. Skim,0.0075,0.0075,28:00.0,Mon,11,Jan,Weekday,4. Afternoon
SuperSport Blitz,male,indian_asian,24,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,07:00.0,Sun,14,Feb,Weekend,6. Evening_Peak
Boomerang,male,coloured,19,2. Teen,Northern Cape,0:00:05,1. Skim,0.001389,0.001389,36:00.0,Mon,22,Feb,Weekday,2. Morning_Peak
Trace TV,male,black,21,3. Young Adult,Free State,0:12:54,2. Short_watch,0.215,0.215,01:00.0,Wed,27,Jan,Weekday,5. Evening
Trace TV,male,coloured,26,3. Young Adult,Western Cape,0:07:21,2. Short_watch,0.1225,0.1225,55:00.0,Sat,23,Jan,Weekend,3. Mid_Morning
Trace TV,male,black,29,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,48:00.0,Sat,2,Jan,Weekend,5. Evening
ICC Cricket World Cup 2011,male,indian_asian,36,4. Adult,Western Cape,0:00:26,1. Skim,0.007222,0.007222,00:00.0,Fri,25,Mar,Weekday,4. Afternoon
Boomerang,male,black,31,3. Young Adult,Gauteng,0:03:05,1. Skim,0.051389,0.051389,56:00.0,Tue,15,Mar,Weekday,5. Evening
SuperSport Blitz,male,black,44,4. Adult,Limpopo,0:02:00,1. Skim,0.033333,0.033333,14:00.0,Fri,8,Jan,Weekday,4. Afternoon
Supersport Live Events,male,black,45,4. Adult,Eastern Cape,0:24:02,3. Regular_watch,0.400556,0.400556,59:00.0,Sat,12,Mar,Weekend,2. Morning_Peak
Trace TV,male,black,22,3. Young Adult,Kwazulu Natal,0:00:03,1. Skim,0.000833,0.000833,23:00.0,Tue,1,Mar,Weekday,6. Evening_Peak
Trace TV,male,black,22,3. Young Adult,Gauteng,0:03:12,1. Skim,0.053333,0.053333,52:00.0,Mon,7,Mar,Weekday,2. Morning_Peak
Trace TV,male,black,23,3. Young Adult,Limpopo,0:33:51,3. Regular_watch,0.564167,0.564167,50:00.0,Sat,23,Jan,Weekend,1. Graveyard
ICC Cricket World Cup 2011,male,indian_asian,23,3. Young Adult,Limpopo,0:03:14,1. Skim,0.053889,0.053889,16:00.0,Wed,9,Mar,Weekday,4. Afternoon
Cartoon Network,male,coloured,26,3. Young Adult,Western Cape,0:00:09,1. Skim,0.0025,0.0025,27:00.0,Sun,27,Mar,Weekend,1. Graveyard
ICC Cricket World Cup 2011,male,None,27,3. Young Adult,Limpopo,0:01:18,1. Skim,0.021667,0.021667,59:00.0,Wed,2,Mar,Weekday,4. Afternoon
Trace TV,male,black,27,3. Young Adult,Limpopo,0:00:09,1. Skim,0.0025,0.0025,43:00.0,Sat,6,Feb,Weekend,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,27,3. Young Adult,Mpumalanga,0:01:18,1. Skim,0.021667,0.021667,53:00.0,Wed,23,Mar,Weekday,4. Afternoon
Africa Magic,female,black,27,3. Young Adult,Gauteng,0:00:13,1. Skim,0.003611,0.003611,49:00.0,Thu,31,Mar,Weekday,5. Evening
Vuzu,female,black,27,3. Young Adult,Gauteng,0:00:35,1. Skim,0.009722,0.009722,55:00.0,Thu,31,Mar,Weekday,5. Evening
Cartoon Network,female,white,25,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,55:00.0,Sat,20,Feb,Weekend,3. Mid_Morning
Channel O,male,coloured,42,4. Adult,Western Cape,0:01:48,1. Skim,0.03,0.03,59:00.0,Sat,16,Jan,Weekend,6. Evening_Peak
Channel O,male,black,19,2. Teen,Free State,0:32:30,3. Regular_watch,0.541666,0.541666,20:00.0,Tue,8,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,coloured,28,3. Young Adult,Eastern Cape,0:30:38,3. Regular_watch,0.510556,0.510556,53:00.0,Fri,5,Feb,Weekday,2. Morning_Peak
Boomerang,male,indian_asian,25,3. Young Adult,Gauteng,0:02:27,1. Skim,0.040833,0.040833,18:00.0,Tue,15,Mar,Weekday,3. Mid_Morning
E! Entertainment,male,black,30,3. Young Adult,Gauteng,0:01:44,1. Skim,0.028889,0.028889,19:00.0,Sat,13,Feb,Weekend,5. Evening
E! Entertainment,female,white,25,3. Young Adult,Gauteng,0:00:40,1. Skim,0.011111,0.011111,44:00.0,Fri,12,Feb,Weekday,2. Morning_Peak
Trace TV,male,black,40,4. Adult,Kwazulu Natal,0:02:24,1. Skim,0.04,0.04,16:00.0,Sun,21,Feb,Weekend,3. Mid_Morning
ICC Cricket World Cup 2011,male,black,33,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,39:00.0,Fri,18,Mar,Weekday,6. Evening_Peak
Supersport Live Events,male,black,27,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,28:00.0,Mon,15,Feb,Weekday,6. Evening_Peak
SuperSport Blitz,female,None,34,3. Young Adult,Gauteng,0:00:20,1. Skim,0.005556,0.005556,20:00.0,Thu,3,Mar,Weekday,5. Evening
Channel O,female,black,19,2. Teen,Limpopo,0:04:06,1. Skim,0.068334,0.068334,06:00.0,Sun,21,Feb,Weekend,2. Morning_Peak
Africa Magic,male,black,29,3. Young Adult,Eastern Cape,0:00:02,1. Skim,0.000556,0.000556,54:00.0,Fri,19,Feb,Weekday,4. Afternoon
E! Entertainment,male,indian_asian,29,3. Young Adult,Limpopo,0:00:10,1. Skim,0.002778,0.002778,41:00.0,Thu,31,Mar,Weekday,2. Morning_Peak
ICC Cricket World Cup 2011,male,indian_asian,29,3. Young Adult,Limpopo,1:31:38,4. Long_watch,1.527223,1.527223,14:00.0,Wed,30,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,41,4. Adult,Gauteng,0:04:14,1. Skim,0.070556,0.070556,17:00.0,Fri,19,Feb,Weekday,4. Afternoon
CNN,male,black,41,4. Adult,Gauteng,0:21:57,3. Regular_watch,0.365833,0.365833,15:00.0,Fri,29,Jan,Weekday,5. Evening
CNN,male,black,41,4. Adult,Gauteng,0:06:01,2. Short_watch,0.100278,0.100278,48:00.0,Wed,6,Jan,Weekday,3. Mid_Morning
Supersport Live Events,male,indian_asian,35,3. Young Adult,Mpumalanga,0:02:44,1. Skim,0.045555,0.045555,49:00.0,Sun,27,Mar,Weekend,2. Morning_Peak
E! Entertainment,male,coloured,53,4. Adult,Western Cape,0:03:46,1. Skim,0.062778,0.062778,02:00.0,Sun,7,Feb,Weekend,4. Afternoon
Supersport Live Events,male,black,27,3. Young Adult,Mpumalanga,0:00:00,1. Skim,0,0.00E+00,29:00.0,Sun,20,Mar,Weekend,5. Evening
Trace TV,male,black,37,4. Adult,Western Cape,0:39:21,3. Regular_watch,0.655833,0.655833,53:00.0,Thu,7,Jan,Weekday,5. Evening
Cartoon Network,male,black,25,3. Young Adult,Mpumalanga,0:14:41,2. Short_watch,0.244722,0.244722,32:00.0,Fri,5,Feb,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,white,26,3. Young Adult,Mpumalanga,1:06:36,4. Long_watch,1.11,1.11,14:00.0,Wed,23,Mar,Weekday,3. Mid_Morning
Trace TV,male,black,40,4. Adult,Mpumalanga,0:13:12,2. Short_watch,0.22,0.22,33:00.0,Sat,26,Mar,Weekend,5. Evening
Channel O,male,white,52,4. Adult,Kwazulu Natal,0:01:18,1. Skim,0.021667,0.021667,17:00.0,Thu,17,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,other,32,3. Young Adult,Kwazulu Natal,0:00:00,1. Skim,0,0.00E+00,03:00.0,Sat,20,Feb,Weekend,4. Afternoon
ICC Cricket World Cup 2011,None,None,0,1. Children,None,0:11:44,2. Short_watch,0.195555,0.195555,00:00.0,Wed,30,Mar,Weekday,5. Evening
Cartoon Network,male,black,24,3. Young Adult,Limpopo,0:05:37,2. Short_watch,0.093611,0.093611,13:00.0,Tue,16,Feb,Weekday,4. Afternoon
Supersport Live Events,male,coloured,39,4. Adult,Free State,0:18:46,3. Regular_watch,0.312778,0.312778,34:00.0,Sun,27,Mar,Weekend,5. Evening
Supersport Live Events,male,indian_asian,33,3. Young Adult,Limpopo,0:00:54,1. Skim,0.015,0.015,22:00.0,Fri,19,Feb,Weekday,5. Evening
E! Entertainment,male,coloured,22,3. Young Adult,Western Cape,0:04:00,1. Skim,0.066667,0.066667,00:00.0,Tue,22,Mar,Weekday,1. Graveyard
Supersport Live Events,female,indian_asian,31,3. Young Adult,Gauteng,0:03:16,1. Skim,0.054444,0.054444,42:00.0,Thu,24,Mar,Weekday,5. Evening
ICC Cricket World Cup 2011,male,indian_asian,44,4. Adult,Kwazulu Natal,0:04:46,1. Skim,0.079445,0.079445,34:00.0,Wed,30,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,None,32,3. Young Adult,Western Cape,2:07:58,Binge,2.132778,2.132778,55:00.0,Mon,22,Feb,Weekday,4. Afternoon
CNN,male,black,27,3. Young Adult,Mpumalanga,0:01:42,1. Skim,0.028334,0.028334,34:00.0,Wed,6,Jan,Weekday,2. Morning_Peak
Trace TV,male,white,26,3. Young Adult,Gauteng,0:01:06,1. Skim,0.018334,0.018334,12:00.0,Mon,7,Mar,Weekday,4. Afternoon
Trace TV,male,black,26,3. Young Adult,Gauteng,0:02:39,1. Skim,0.044166,0.044166,03:00.0,Thu,4,Feb,Weekday,4. Afternoon
SuperSport Blitz,male,white,26,3. Young Adult,Gauteng,0:13:20,2. Short_watch,0.222223,0.222223,24:00.0,Mon,22,Feb,Weekday,5. Evening
Supersport Live Events,male,indian_asian,31,3. Young Adult,Gauteng,0:00:48,1. Skim,0.013333,0.013333,50:00.0,Thu,4,Feb,Weekday,5. Evening
ICC Cricket World Cup 2011,male,indian_asian,32,3. Young Adult,Limpopo,3:01:14,Binge,3.020556,3.020556,51:00.0,Wed,9,Mar,Weekday,4. Afternoon
SuperSport Blitz,male,black,24,3. Young Adult,North West,0:18:40,3. Regular_watch,0.311111,0.311111,44:00.0,Sun,14,Feb,Weekend,3. Mid_Morning
SuperSport Blitz,male,None,34,3. Young Adult,North West,0:05:56,2. Short_watch,0.098889,0.098889,36:00.0,Sat,12,Mar,Weekend,4. Afternoon
Supersport Live Events,male,white,33,3. Young Adult,Gauteng,0:02:22,1. Skim,0.039444,0.039444,14:00.0,Thu,25,Feb,Weekday,6. Evening_Peak
Cartoon Network,None,None,0,1. Children,None,0:06:31,2. Short_watch,0.108611,0.108611,48:00.0,Wed,23,Mar,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,41,4. Adult,Western Cape,0:05:02,2. Short_watch,0.083889,0.083889,43:00.0,Thu,3,Mar,Weekday,4. Afternoon
Boomerang,male,coloured,28,3. Young Adult,Gauteng,0:00:18,1. Skim,0.005,0.005,09:00.0,Mon,15,Feb,Weekday,4. Afternoon
Africa Magic,female,black,25,3. Young Adult,Northern Cape,0:09:12,2. Short_watch,0.153333,0.153333,48:00.0,Thu,11,Feb,Weekday,3. Mid_Morning
Channel O,male,indian_asian,39,4. Adult,Gauteng,0:00:27,1. Skim,0.0075,0.0075,49:00.0,Tue,22,Mar,Weekday,6. Evening_Peak
Channel O,male,None,22,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,42:00.0,Mon,7,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,white,31,3. Young Adult,Free State,0:04:28,1. Skim,0.074445,0.074445,21:00.0,Thu,3,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,black,26,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,42:00.0,Sun,6,Mar,Weekend,4. Afternoon
Africa Magic,male,black,35,3. Young Adult,Eastern Cape,0:00:33,1. Skim,0.009167,0.009167,53:00.0,Tue,2,Feb,Weekday,5. Evening
Supersport Live Events,male,coloured,28,3. Young Adult,Western Cape,0:00:30,1. Skim,0.008333,0.008333,12:00.0,Fri,18,Mar,Weekday,6. Evening_Peak
SuperSport Blitz,male,black,19,2. Teen,Gauteng,0:00:30,1. Skim,0.008333,0.008333,55:00.0,Sat,13,Feb,Weekend,5. Evening
Africa Magic,male,black,24,3. Young Adult,Mpumalanga,0:08:13,2. Short_watch,0.136944,0.136944,23:00.0,Fri,12,Feb,Weekday,6. Evening_Peak
Africa Magic,male,black,26,3. Young Adult,Kwazulu Natal,0:00:02,1. Skim,0.000556,0.000556,31:00.0,Thu,28,Jan,Weekday,6. Evening_Peak
Sawsee,male,coloured,33,3. Young Adult,Western Cape,0:02:18,1. Skim,0.038333,0.038333,11:00.0,Mon,8,Feb,Weekday,5. Evening
Vuzu,male,black,30,3. Young Adult,North West,0:00:43,1. Skim,0.011944,0.011944,37:00.0,Sat,9,Jan,Weekend,2. Morning_Peak
Channel O,male,black,21,3. Young Adult,North West,0:00:39,1. Skim,0.010833,0.010833,47:00.0,Thu,24,Mar,Weekday,4. Afternoon
Supersport Live Events,male,None,39,4. Adult,Western Cape,0:00:00,1. Skim,0,0.00E+00,41:00.0,Fri,8,Jan,Weekday,4. Afternoon
Africa Magic,female,black,49,4. Adult,North West,0:00:24,1. Skim,0.006667,0.006667,55:00.0,Wed,3,Feb,Weekday,1. Graveyard
Boomerang,male,coloured,38,4. Adult,Western Cape,0:00:09,1. Skim,0.0025,0.0025,11:00.0,Mon,22,Feb,Weekday,6. Evening_Peak
CNN,male,black,26,3. Young Adult,Gauteng,0:02:06,1. Skim,0.035,0.035,20:00.0,Sun,21,Feb,Weekend,4. Afternoon
Channel O,male,coloured,47,4. Adult,Gauteng,0:19:27,3. Regular_watch,0.324167,0.324167,57:00.0,Thu,3,Mar,Weekday,1. Graveyard
Supersport Live Events,male,white,31,3. Young Adult,North West,0:00:10,1. Skim,0.002778,0.002778,02:00.0,Sun,21,Feb,Weekend,4. Afternoon
SuperSport Blitz,male,black,34,3. Young Adult,Gauteng,0:01:02,1. Skim,0.017223,0.017223,20:00.0,Sun,13,Mar,Weekend,4. Afternoon
CNN,female,coloured,44,4. Adult,Western Cape,0:09:14,2. Short_watch,0.153889,0.153889,27:00.0,Fri,5,Feb,Weekday,5. Evening
Supersport Live Events,male,black,24,3. Young Adult,Limpopo,0:00:32,1. Skim,0.008889,0.008889,24:00.0,Mon,7,Mar,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,indian_asian,32,3. Young Adult,Limpopo,0:02:48,1. Skim,0.046666,0.046666,46:00.0,Fri,19,Feb,Weekday,3. Mid_Morning
SuperSport Blitz,male,indian_asian,27,3. Young Adult,Eastern Cape,0:05:08,2. Short_watch,0.085555,0.085555,35:00.0,Thu,4,Feb,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,21,3. Young Adult,Gauteng,0:00:54,1. Skim,0.015,0.015,20:00.0,Wed,30,Mar,Weekday,5. Evening
Supersport Live Events,male,coloured,25,3. Young Adult,Western Cape,0:04:16,1. Skim,0.071111,0.071111,51:00.0,Thu,25,Feb,Weekday,3. Mid_Morning
E! Entertainment,male,white,18,2. Teen,Eastern Cape,0:00:40,1. Skim,0.011111,0.011111,30:00.0,Thu,14,Jan,Weekday,6. Evening_Peak
SuperSport Blitz,male,coloured,49,4. Adult,Western Cape,0:22:10,3. Regular_watch,0.369445,0.369445,31:00.0,Sat,6,Feb,Weekend,1. Graveyard
Trace TV,male,coloured,38,4. Adult,Western Cape,0:04:21,1. Skim,0.0725,0.0725,43:00.0,Thu,10,Mar,Weekday,6. Evening_Peak
Break in transmission,male,coloured,34,3. Young Adult,Western Cape,0:02:50,1. Skim,0.047222,0.047222,27:00.0,Tue,1,Mar,Weekday,6. Evening_Peak
Supersport Live Events,male,coloured,44,4. Adult,Western Cape,0:01:30,1. Skim,0.025,0.025,03:00.0,Sat,20,Feb,Weekend,4. Afternoon
Channel O,male,black,30,3. Young Adult,Kwazulu Natal,0:52:12,3. Regular_watch,0.87,0.87,55:00.0,Thu,18,Feb,Weekday,5. Evening
Trace TV,male,black,37,4. Adult,Gauteng,0:04:45,1. Skim,0.079167,0.079167,00:00.0,Sun,31,Jan,Weekend,6. Evening_Peak
Trace TV,male,None,0,1. Children,None,0:05:21,2. Short_watch,0.089166,0.089166,03:00.0,Sat,16,Jan,Weekend,6. Evening_Peak
Boomerang,male,black,39,4. Adult,Gauteng,0:31:56,3. Regular_watch,0.532223,0.532223,39:00.0,Thu,25,Feb,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,27,3. Young Adult,Gauteng,0:00:14,1. Skim,0.003889,0.003889,44:00.0,Tue,29,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,46,4. Adult,Gauteng,0:05:42,2. Short_watch,0.095,0.095,27:00.0,Sat,5,Mar,Weekend,5. Evening
Channel O,male,coloured,21,3. Young Adult,Gauteng,0:04:51,1. Skim,0.080834,0.080834,03:00.0,Mon,14,Mar,Weekday,5. Evening
ICC Cricket World Cup 2011,male,black,29,3. Young Adult,Gauteng,0:03:30,1. Skim,0.058333,0.058333,04:00.0,Wed,2,Mar,Weekday,4. Afternoon
Supersport Live Events,male,black,44,4. Adult,Gauteng,0:02:00,1. Skim,0.033333,0.033333,26:00.0,Fri,4,Mar,Weekday,4. Afternoon
Cartoon Network,male,black,61,4. Adult,Limpopo,0:01:33,1. Skim,0.025834,0.025834,04:00.0,Sun,17,Jan,Weekend,6. Evening_Peak
CNN,male,coloured,44,4. Adult,Western Cape,0:41:02,3. Regular_watch,0.683889,0.683889,17:00.0,Thu,25,Feb,Weekday,4. Afternoon
Trace TV,male,black,38,4. Adult,Gauteng,1:12:18,4. Long_watch,1.205,1.205,40:00.0,Tue,8,Mar,Weekday,3. Mid_Morning
Cartoon Network,female,black,33,3. Young Adult,Gauteng,0:12:54,2. Short_watch,0.215,0.215,58:00.0,Sun,21,Feb,Weekend,3. Mid_Morning
Supersport Live Events,male,indian_asian,25,3. Young Adult,Limpopo,0:08:10,2. Short_watch,0.136111,0.136111,23:00.0,Thu,24,Mar,Weekday,3. Mid_Morning
Supersport Live Events,male,white,38,4. Adult,Gauteng,0:00:24,1. Skim,0.006667,0.006667,55:00.0,Thu,18,Feb,Weekday,3. Mid_Morning
Africa Magic,female,black,38,4. Adult,Eastern Cape,0:01:39,1. Skim,0.0275,0.0275,02:00.0,Tue,26,Jan,Weekday,5. Evening
Channel O,male,black,33,3. Young Adult,Kwazulu Natal,0:35:24,3. Regular_watch,0.59,0.59,57:00.0,Wed,9,Mar,Weekday,4. Afternoon
Boomerang,female,black,46,4. Adult,Kwazulu Natal,0:00:04,1. Skim,0.001111,0.001111,45:00.0,Sat,16,Jan,Weekend,5. Evening
Supersport Live Events,male,white,52,4. Adult,North West,0:03:48,1. Skim,0.063333,0.063333,46:00.0,Sat,23,Jan,Weekend,3. Mid_Morning
Supersport Live Events,male,black,32,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,06:00.0,Fri,19,Feb,Weekday,3. Mid_Morning
Channel O,male,black,25,3. Young Adult,Limpopo,0:08:18,2. Short_watch,0.138333,0.138333,21:00.0,Fri,18,Mar,Weekday,4. Afternoon
Africa Magic,male,black,47,4. Adult,Gauteng,0:01:34,1. Skim,0.026111,0.026111,24:00.0,Sun,20,Mar,Weekend,5. Evening
Trace TV,male,black,35,3. Young Adult,Western Cape,0:00:33,1. Skim,0.009167,0.009167,38:00.0,Thu,24,Mar,Weekday,3. Mid_Morning
E! Entertainment,male,white,32,3. Young Adult,Gauteng,0:00:28,1. Skim,0.007778,0.007778,22:00.0,Sat,2,Jan,Weekend,6. Evening_Peak
SuperSport Blitz,male,white,45,4. Adult,Free State,0:00:00,1. Skim,0,0.00E+00,01:00.0,Mon,14,Mar,Weekday,4. Afternoon
Supersport Live Events,male,black,28,3. Young Adult,Gauteng,0:03:32,1. Skim,0.058889,0.058889,08:00.0,Mon,1,Feb,Weekday,6. Evening_Peak
