Channel2,Gender,Race,Age,Age_Group,Province,Watch_Time,watch_time_classification,total_watch_time_hours,avg_watch_time_hours,viewing_date,Day,Date,Month,day_classification,viewing_segment_classification
Supersport Live Events,male,black,24,3. Young Adult,North West,0:00:44,1. Skim,0.012222,0.012222,10:00.0,Mon,1,Feb,Weekday,1. Graveyard
M-Net,male,None,38,4. Adult,Western Cape,0:00:34,1. Skim,0.009444,0.009444,19:00.0,Tue,8,Mar,Weekday,5. Evening
Africa Magic,male,other,15,2. Teen,Eastern Cape,0:00:45,1. Skim,0.0125,0.0125,35:00.0,Mon,22,Feb,Weekday,4. Afternoon
Channel O,male,black,46,4. Adult,Free State,0:40:00,3. Regular_watch,0.666667,0.666667,00:00.0,Mon,4,Jan,Weekday,4. Afternoon
SuperSport Blitz,male,indian_asian,26,3. Young Adult,Limpopo,0:09:22,2. Short_watch,0.156111,0.156111,11:00.0,Sun,14,Feb,Weekend,3. Mid_Morning
Cartoon Network,male,black,36,4. Adult,Gauteng,0:00:11,1. Skim,0.003056,0.003056,23:00.0,Tue,9,Feb,Weekday,4. Afternoon
Africa Magic,male,black,34,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,00:00.0,Sat,19,Mar,Weekend,4. Afternoon
SuperSport Blitz,male,black,35,3. Young Adult,Eastern Cape,0:06:04,2. Short_watch,0.101111,0.101111,09:00.0,Tue,9,Feb,Weekday,6. Evening_Peak
Break in transmission,male,coloured,32,3. Young Adult,Western Cape,0:00:40,1. Skim,0.011111,0.011111,58:00.0,Tue,1,Mar,Weekday,6. Evening_Peak
Africa Magic,male,black,27,3. Young Adult,Gauteng,0:05:36,2. Short_watch,0.093333,0.093333,47:00.0,Wed,30,Mar,Weekday,2. Morning_Peak
SawSee,male,black,27,3. Young Adult,Gauteng,0:01:15,1. Skim,0.020834,0.020834,25:00.0,Tue,29,Mar,Weekday,5. Evening
SawSee,None,None,0,1. Children,None,0:03:17,1. Skim,0.054722,0.054722,45:00.0,Thu,3,Mar,Weekday,3. Mid_Morning
Cartoon Network,female,black,31,3. Young Adult,Limpopo,0:12:04,2. Short_watch,0.201111,0.201111,31:00.0,Wed,20,Jan,Weekday,6. Evening_Peak
Cartoon Network,male,coloured,33,3. Young Adult,Eastern Cape,0:01:01,1. Skim,0.016945,0.016945,15:00.0,Tue,23,Feb,Weekday,6. Evening_Peak
Supersport Live Events,male,coloured,47,4. Adult,Gauteng,0:00:40,1. Skim,0.011111,0.011111,23:00.0,Sat,5,Mar,Weekend,5. Evening
E! Entertainment,male,black,30,3. Young Adult,Gauteng,0:00:26,1. Skim,0.007222,0.007222,23:00.0,Fri,25,Mar,Weekday,4. Afternoon
Cartoon Network,male,indian_asian,48,4. Adult,Kwazulu Natal,0:00:11,1. Skim,0.003056,0.003056,35:00.0,Fri,8,Jan,Weekday,4. Afternoon
SuperSport Blitz,male,coloured,54,4. Adult,Free State,0:00:06,1. Skim,0.001667,0.001667,45:00.0,Sat,19,Mar,Weekend,3. Mid_Morning
E! Entertainment,male,black,25,3. Young Adult,Limpopo,0:00:54,1. Skim,0.015,0.015,56:00.0,Sat,16,Jan,Weekend,6. Evening_Peak
ICC Cricket World Cup 2011,male,black,34,3. Young Adult,Western Cape,0:12:00,2. Short_watch,0.2,0.2,46:00.0,Sat,19,Mar,Weekend,3. Mid_Morning
SuperSport Blitz,male,black,32,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,44:00.0,Thu,17,Mar,Weekday,2. Morning_Peak
Boomerang,male,black,22,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,21:00.0,Fri,25,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,black,38,4. Adult,Gauteng,0:00:04,1. Skim,0.001111,0.001111,00:00.0,Sun,7,Feb,Weekend,4. Afternoon
E! Entertainment,male,indian_asian,34,3. Young Adult,Gauteng,0:06:58,2. Short_watch,0.116111,0.116111,41:00.0,Fri,22,Jan,Weekday,6. Evening_Peak
SuperSport Blitz,male,black,26,3. Young Adult,North West,0:00:00,1. Skim,0,0.00E+00,16:00.0,Sat,6,Feb,Weekend,4. Afternoon
Trace TV,female,black,27,3. Young Adult,Mpumalanga,0:04:15,1. Skim,0.070834,0.070834,39:00.0,Sun,24,Jan,Weekend,5. Evening
ICC Cricket World Cup 2011,male,black,39,4. Adult,Gauteng,0:00:22,1. Skim,0.006111,0.006111,57:00.0,Thu,31,Mar,Weekday,3. Mid_Morning
SuperSport Blitz,male,black,28,3. Young Adult,Kwazulu Natal,0:01:50,1. Skim,0.030556,0.030556,11:00.0,Wed,3,Feb,Weekday,5. Evening
SuperSport Blitz,male,coloured,42,4. Adult,Western Cape,0:16:28,3. Regular_watch,0.274445,0.274445,54:00.0,Thu,25,Feb,Weekday,3. Mid_Morning
Africa Magic,male,coloured,38,4. Adult,Western Cape,0:00:30,1. Skim,0.008333,0.008333,45:00.0,Thu,10,Mar,Weekday,6. Evening_Peak
Channel O,male,black,39,4. Adult,Kwazulu Natal,0:00:12,1. Skim,0.003333,0.003333,37:00.0,Fri,11,Mar,Weekday,3. Mid_Morning
ICC Cricket World Cup 2011,male,white,30,3. Young Adult,North West,0:14:20,2. Short_watch,0.238889,0.238889,04:00.0,Thu,3,Mar,Weekday,4. Afternoon
SuperSport Blitz,male,indian_asian,27,3. Young Adult,Gauteng,0:10:24,2. Short_watch,0.173334,0.173334,37:00.0,Wed,30,Mar,Weekday,2. Morning_Peak
Boomerang,male,indian_asian,27,3. Young Adult,Gauteng,0:00:17,1. Skim,0.004722,0.004722,00:00.0,Tue,29,Mar,Weekday,4. Afternoon
Trace TV,male,white,37,4. Adult,Kwazulu Natal,0:00:15,1. Skim,0.004167,0.004167,36:00.0,Wed,20,Jan,Weekday,1. Graveyard
CNN,male,None,37,4. Adult,Gauteng,0:00:47,1. Skim,0.013056,0.013056,34:00.0,Wed,30,Mar,Weekday,3. Mid_Morning
Africa Magic,male,black,40,4. Adult,North West,0:00:43,1. Skim,0.011944,0.011944,49:00.0,Wed,2,Mar,Weekday,1. Graveyard
Supersport Live Events,male,black,24,3. Young Adult,Limpopo,0:03:24,1. Skim,0.056667,0.056667,59:00.0,Mon,18,Jan,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,indian_asian,31,3. Young Adult,Limpopo,0:01:14,1. Skim,0.020556,0.020556,04:00.0,Sun,6,Mar,Weekend,2. Morning_Peak
Trace TV,male,black,22,3. Young Adult,Gauteng,0:02:42,1. Skim,0.045,0.045,12:00.0,Mon,22,Feb,Weekday,6. Evening_Peak
Trace TV,male,black,32,3. Young Adult,Mpumalanga,0:11:54,2. Short_watch,0.198333,0.198333,16:00.0,Tue,22,Mar,Weekday,5. Evening
SuperSport Blitz,male,white,37,4. Adult,Limpopo,0:03:50,1. Skim,0.063889,0.063889,54:00.0,Tue,8,Mar,Weekday,3. Mid_Morning
ICC Cricket World Cup 2011,male,white,29,3. Young Adult,Western Cape,0:02:58,1. Skim,0.049444,0.049444,22:00.0,Wed,30,Mar,Weekday,4. Afternoon
Africa Magic,male,black,39,4. Adult,Mpumalanga,0:00:15,1. Skim,0.004167,0.004167,05:00.0,Sun,21,Feb,Weekend,4. Afternoon
MK,male,white,25,3. Young Adult,Kwazulu Natal,0:03:58,1. Skim,0.066111,0.066111,46:00.0,Mon,11,Jan,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,female,indian_asian,50,4. Adult,Gauteng,0:05:48,2. Short_watch,0.096666,0.096666,51:00.0,Sat,5,Mar,Weekend,5. Evening
Boomerang,male,white,38,4. Adult,Mpumalanga,0:00:34,1. Skim,0.009444,0.009444,30:00.0,Wed,9,Mar,Weekday,4. Afternoon
